id	wave	date	polarization	time	interviewdistance	edate	treated	fortuyn	pvda	vvd	lpf	cda	age	female	rural	sclass	polkno	religion	dlr	postlr	lprelr	lpf_id_broad	vvd_id_broad	cu_id_broad	cda_id_broad	d66_id_broad	pvda_id_broad	gl_id_broad	sp_id_broad	rightid	leftid	asylum	crime	euthanasia	inequality	sample
7.0	3.0	2003-02-06		267.0	26.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	1.0	84.166664	1.0	1.0	2.0	8.0	1.0				0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	5.0	3.0	3.0	
8.0	1.0	2002-04-16	0.0	-29.0	36.0	2002-05-15	0.0	0.0	1.0	0.0	0.0	0.0	75.25	1.0	1.0	5.0	11.0	0.0				0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	4.0	5.0	1.0	1.0	1.0
8.0	2.0	2002-05-22	0.0	7.0	36.0	2002-05-15	1.0	1.0	1.0	0.0	0.0	0.0	75.333336	1.0	1.0	5.0	11.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	4.0	5.0	1.0	1.0	1.0
9.0	1.0	2002-04-22	4.0	-23.0	35.0	2002-05-15	0.0	0.0	0.0	0.0	0.0	0.0	64.833336	2.0	1.0	5.0	10.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0		6.0	3.0	2.0	1.0
9.0	2.0	2002-05-27	4.0	12.0	35.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	64.916664	2.0	1.0	5.0	10.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0		6.0	3.0	2.0	1.0
9.0	3.0	2003-01-27		257.0	35.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	65.583336	2.0	1.0	5.0	10.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0		6.0	3.0	2.0	
10.0	1.0	2002-05-10	1.0	-5.0	45.0	2002-05-15	0.0	1.0	0.0	0.0	0.0	1.0	48.5	2.0	1.0	3.0	3.0	1.0				0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	4.0	6.0	3.0	1.0
10.0	2.0	2002-06-24	1.0	40.0	45.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	1.0	48.583332	2.0	1.0	3.0	3.0	1.0	0.0	7.0	7.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	4.0	6.0	3.0	1.0
10.0	3.0	2003-01-30		260.0	45.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	1.0	49.166668	2.0	1.0	3.0	3.0	1.0				0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	4.0	6.0	3.0	
11.0	1.0	2002-04-22	1.0	-23.0	51.0	2002-05-15	0.0	0.0	0.0	0.0	0.0	0.0	48.833332	1.0	1.0	3.0	6.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	7.0	1.0	2.0	1.0
11.0	2.0	2002-06-12	0.0	28.0	51.0	2002-05-15	1.0	1.0	0.0	0.0	0.0	0.0	49.0	1.0	1.0	3.0	6.0	0.0	-1.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	7.0	1.0	2.0	1.0
